pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,sy_dist
CoRoT-20 b,1,2,Transit,2011,1366.66900,4.30000,8.870000,0.590000,844.0610000
CoRoT-20 c,1,2,Radial Velocity,2018,5403.11000,17.00000,16.400000,0.600000,844.0610000
CoRoT-21 b,1,1,Transit,2012,718.29580,2.26000,1.360000,0.000000,1398.8341969
CoRoT-22 b,1,1,Transit,2014,12.20000,0.03800,0.249000,0.077000,627.1580000
CoRoT-23 b,1,1,Transit,2011,889.90000,2.80000,3.000000,0.160000,1060.9700000
CoRoT-24 b,1,2,Transit,2014,5.70000,0.01800,0.900000,0.000000,591.5550000
CoRoT-24 c,1,2,Transit,2014,28.00000,0.08800,1.300000,0.000000,591.5550000
CoRoT-25 b,1,1,Transit,2013,85.81000,0.27000,0.150000,0.000000,1103.4800000
CoRoT-26 b,1,1,Transit,2013,165.26000,0.52000,0.280000,0.000000,1045.1800000
CoRoT-27 b,1,1,Transit,2014,3302.11000,10.39000,12.600000,0.065000,1010.2800000
CoRoT-28 b,1,1,Transit,2015,153.82972,0.48400,0.690000,0.047000,766.1830000
CoRoT-29 b,1,1,Transit,2015,270.15550,0.85000,1.450000,0.082000,806.5070000
CoRoT-3 b,1,1,Transit,2008,6883.91000,21.66000,26.400000,0.000000,768.7710000
CoRoT-30 b,1,1,Transit,2020,921.70700,2.90000,3.450000,0.007000,1032.2300000
CoRoT-31 b,1,1,Transit,2020,266.97720,0.84000,0.330000,0.020000,2005.7600000
CoRoT-4 b,1,1,Transit,2008,228.83000,0.72000,0.525000,0.000000,726.4120000
CoRoT-5 b,1,1,Transit,2009,148.42000,0.46700,0.217000,0.090000,882.4720000
CoRoT-6 b,1,1,Transit,2009,940.74000,2.96000,2.320000,0.100000,645.2940000
CoRoT-7 b,1,2,Transit,2009,4.07661,0.01283,6.610000,0.000000,159.9060000
CoRoT-7 c,1,2,Radial Velocity,2009,8.40000,0.02643,2.040000,0.000000,159.9060000
CoRoT-8 b,1,1,Transit,2010,69.92000,0.22000,1.600000,0.000000,322.0370000
CoRoTID 223977153 b,1,1,Transit,2017,47.67450,0.15000,1.100000,,576.6830000
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,9057.77000,28.50000,29.500000,0.345000,20.7700000
DH Tau b,1,1,Imaging,2004,3496.00000,11.00000,0.693000,,134.8460000
DMPP-1 b,1,4,Radial Velocity,2019,24.27000,0.07636,0.901000,0.083000,62.5388000
DMPP-1 c,1,4,Radial Velocity,2019,9.60000,0.03020,1.840000,0.057000,62.5388000
DMPP-1 d,1,4,Radial Velocity,2019,3.35000,0.01054,4.100000,0.070000,62.5388000
DMPP-1 e,1,4,Radial Velocity,2019,4.13000,0.01299,3.530000,0.070000,62.5388000
DMPP-2 b,1,1,Radial Velocity,2019,138.89171,0.43700,0.261000,0.078000,137.9400000
EPIC 201170410.02,1,1,Transit,2020,1.15000,0.00360,5.510000,0.000000,134.0000000
EPIC 201238110 b,1,1,Transit,2019,4.16000,0.01310,3.500000,,159.2590000
EPIC 201497682 b,1,1,Transit,2019,0.26000,0.00082,4.310000,,253.0260000
EPIC 201615463 c,1,2,Transit,2019,1.98000,0.00624,5.990000,,476.8820000
EPIC 201754305 d,1,3,Transit,2019,1.08000,0.00340,5.430000,,334.9670000
EPIC 201757695.02,1,1,Transit,2020,0.68800,0.00217,5.050000,0.000000,577.6000000
EPIC 201833600 c,1,2,Transit,2019,0.97200,0.00306,5.340000,,257.4430000
EPIC 201841433 b,1,1,Transit,2019,1.12000,0.00352,5.470000,,436.4880000
EPIC 205950854 c,1,2,Transit,2019,2.27000,0.00714,5.550000,,243.9350000
EPIC 206024342 b,1,1,Transit,2019,3.53000,0.01110,3.950000,,369.8880000
EPIC 206032309 b,1,1,Transit,2019,1.01000,0.00317,5.390000,,161.3650000
EPIC 206042996 b,1,1,Transit,2019,3.26000,0.01020,4.210000,,451.7690000
EPIC 206215704 b,1,1,Transit,2019,0.66600,0.00210,5.020000,,109.8880000
EPIC 206317286 b,1,1,Transit,2019,0.84000,0.00264,5.220000,,314.3500000
EPIC 211822797 b,1,1,Transit,2016,4.58000,0.01440,3.240000,0.060000,186.1970000
EPIC 211945201 b,1,1,Transit,2018,27.00000,0.08495,0.650000,0.000000,181.6900000
EPIC 212297394 b,1,1,Transit,2019,2.31000,0.00727,5.480000,,418.3950000
EPIC 212424622 b,1,1,Transit,2019,5.35000,0.01680,2.880000,,611.8040000
EPIC 212499991 b,1,1,Transit,2019,3.19000,0.01000,4.280000,,283.2900000
EPIC 212587672 b,1,1,Transit,2019,1.46000,0.00459,5.710000,,320.0700000
EPIC 212737443 b,1,2,Transit,2019,7.20000,0.02270,2.290000,0.200000,336.2500000
EPIC 212737443 c,1,2,Transit,2019,7.70000,0.02420,2.170000,0.200000,336.2500000
EPIC 220554210 c,1,2,Transit,2019,2.79000,0.00879,4.730000,,496.2890000
EPIC 220674823 b,1,2,Transit,2016,7.72000,0.02429,8.500000,0.000000,244.5900000
EPIC 220674823 c,1,2,Transit,2016,5.80000,0.01825,2.000000,0.180000,244.5900000
EPIC 248847494 b,1,1,Transit,2018,4131.79000,13.00000,,0.000000,551.8860000
EPIC 249893012 b,1,3,Transit,2020,8.75000,0.02753,6.390000,0.060000,321.2960000
EPIC 249893012 c,1,3,Transit,2020,14.67000,0.04616,1.620000,0.070000,321.2960000
EPIC 249893012 d,1,3,Transit,2020,10.18000,0.03203,0.910000,0.150000,321.2960000
FU Tau b,1,1,Imaging,2008,5085.28000,16.00000,15.400000,,133.4950466
G 9-40 b,1,1,Transit,2019,4.76000,0.01500,3.150000,0.000000,27.9276000
GJ 1061 b,1,3,Radial Velocity,2020,1.37000,0.00431,5.660000,0.310000,3.6727800
GJ 1061 c,1,3,Radial Velocity,2020,1.74000,0.00547,5.820000,0.290000,3.6727800
GJ 1061 d,1,3,Radial Velocity,2020,1.64000,0.00516,5.770000,0.530000,3.6727800
GJ 1132 b,1,2,Transit,2015,1.66000,0.00522,6.300000,0.220000,12.6130000
GJ 1132 c,1,2,Radial Velocity,2018,2.64000,0.00831,4.960000,0.270000,12.6130000
GJ 1148 b,1,2,Radial Velocity,2010,96.70000,0.30425,0.315000,0.380000,11.0143000
GJ 1148 c,1,2,Radial Velocity,2017,68.06000,0.21414,0.409000,0.342000,11.0143000
GJ 1214 b,1,1,Transit,2009,6.26125,0.01970,1.490000,0.000000,14.6427000
GJ 1252 b,1,1,Transit,2020,2.09000,0.00658,6.760000,0.000000,20.3730000
GJ 1265 b,1,1,Radial Velocity,2018,7.40000,0.02328,2.240000,0.040000,10.2525000
GJ 143 b,1,2,Transit,2019,22.70000,0.07142,7.000000,0.188000,16.3200000
GJ 160.2 b,1,1,Radial Velocity,2014,10.20000,0.03209,1.760000,0.060000,25.8557000
GJ 163 b,1,3,Radial Velocity,2013,10.60000,0.03335,1.700000,0.073000,15.1285000
GJ 163 c,1,3,Radial Velocity,2013,6.80000,0.02140,2.390000,0.099000,15.1285000
GJ 163 d,1,3,Radial Velocity,2013,29.40000,0.09250,0.779000,0.373000,15.1285000
GJ 179 b,1,1,Radial Velocity,2009,260.61000,0.82000,0.533000,0.210000,12.3560000
GJ 180 b,1,3,Radial Velocity,2014,6.49000,0.02042,2.490000,0.070000,11.9407000
GJ 180 c,1,3,Radial Velocity,2014,6.40000,0.02014,2.510000,0.090000,11.9407000
GJ 180 d,1,3,Radial Velocity,2020,7.56000,0.02379,2.210000,0.140000,11.9407000
GJ 2056 b,1,1,Radial Velocity,2020,16.20000,0.05097,1.230000,0.720000,28.4434000
GJ 27.1 b,1,1,Radial Velocity,2014,13.00000,0.04090,1.460000,0.080000,23.6062000
GJ 273 b,1,2,Radial Velocity,2017,2.89000,0.00909,4.610000,0.100000,5.9215350
GJ 273 c,1,2,Radial Velocity,2017,1.18000,0.00371,5.440000,0.170000,5.9215350
GJ 3082 b,1,1,Radial Velocity,2020,8.20000,0.02580,2.070000,0.220000,16.6186000
GJ 3138 b,1,3,Radial Velocity,2017,1.78000,0.00560,5.950000,0.190000,28.4712000
GJ 3138 c,1,3,Radial Velocity,2017,4.18000,0.01315,3.460000,0.110000,28.4712000
GJ 3138 d,1,3,Radial Velocity,2017,10.50000,0.03304,1.710000,0.320000,28.4712000
GJ 317 b,1,2,Radial Velocity,2007,794.50000,2.50000,1.860000,0.070000,15.1968000
GJ 317 c,1,2,Radial Velocity,2018,522.50000,1.64396,1.170000,0.170000,15.1968000
GJ 328 b,1,1,Radial Velocity,2013,731.00000,2.30000,1.710000,0.370000,20.5266000
GJ 3293 b,1,4,Radial Velocity,2015,23.54000,0.07406,0.925000,0.060000,20.1903000
GJ 3293 c,1,4,Radial Velocity,2015,21.09000,0.06636,1.000000,0.110000,20.1903000
GJ 3293 d,1,4,Radial Velocity,2017,7.60000,0.02391,2.190000,0.120000,20.1903000
GJ 3293 e,1,4,Radial Velocity,2017,3.28000,0.01032,4.160000,0.210000,20.1903000
GJ 3323 b,1,2,Radial Velocity,2017,2.02000,0.00636,5.960000,0.230000,5.3748400
GJ 3323 c,1,2,Radial Velocity,2017,2.31000,0.00727,5.520000,0.170000,5.3748400
GJ 3341 b,1,1,Radial Velocity,2015,6.60000,0.02080,2.440000,0.310000,23.6190000
GJ 3470 b,1,1,Radial Velocity,2012,13.90000,0.04373,0.800000,0.017000,29.4214000
GJ 3512 b,1,1,Radial Velocity,2019,147.15529,0.46300,0.277000,0.435600,9.4863700
GJ 357 b,1,3,Transit,2019,1.84000,0.00579,5.600000,,9.4418100
GJ 357 c,1,3,Radial Velocity,2019,3.40000,0.01070,4.080000,,9.4418100
GJ 357 d,1,3,Radial Velocity,2019,6.10000,0.01919,2.620000,,9.4418100
GJ 3634 b,1,1,Radial Velocity,2010,8.40000,0.02600,2.040000,0.080000,20.3779000
GJ 3779 b,1,1,Radial Velocity,2018,8.00000,0.02517,2.110000,0.070000,13.7430000
GJ 3942 b,1,1,Radial Velocity,2017,7.14000,0.02246,2.310000,0.121000,16.9287000
GJ 3998 b,1,2,Radial Velocity,2016,2.47000,0.00777,5.160000,0.000000,18.1459000
GJ 3998 c,1,2,Radial Velocity,2016,6.26000,0.01970,2.550000,0.049000,18.1459000
GJ 411 b,1,1,Radial Velocity,2019,2.99000,0.00941,4.500000,0.220000,5.6757730
GJ 422 b,1,1,Radial Velocity,2014,11.07000,0.03483,1.650000,0.110000,12.6631000
GJ 4276 b,1,1,Radial Velocity,2019,16.57000,0.05213,1.210000,0.370000,21.3362000
GJ 433 b,1,3,Radial Velocity,2011,6.04300,0.01901,2.630000,0.040000,9.0645600
GJ 433 c,1,3,Radial Velocity,2014,32.42200,0.10201,0.723000,0.120000,9.0645600
GJ 433 d,1,3,Radial Velocity,2020,5.22300,0.01643,2.930000,0.070000,9.0645600
GJ 436 b,1,1,Radial Velocity,2004,22.10000,0.07000,1.800000,0.138270,9.7532100
GJ 480 b,1,1,Radial Velocity,2020,13.20000,0.04153,1.440000,0.100000,14.2358000
